Date,Quantity
2019-09-01,325
2019-09-02,293
2019-09-03,332
2019-09-04,376
2019-09-05,288
2019-09-06,288
2019-09-07,379
2019-09-08,338
2019-09-09,277
2019-09-10,327
2019-09-11,277
2019-09-12,277
2019-09-13,312
2019-09-14,204
2019-09-15,214
2019-09-16,272
2019-09-17,249
2019-09-18,316
2019-09-19,255
2019-09-20,229
2019-09-21,373
2019-09-22,289
2019-09-23,303
2019-09-24,229
2019-09-25,273
2019-09-26,306
2019-09-27,242
2019-09-28,319
2019-09-29,270
2019-09-30,285
2019-10-01,270
2019-10-02,393
2019-10-03,299
2019-10-04,247
2019-10-05,341
2019-10-06,239
2019-10-07,310
2019-10-08,202
2019-10-09,234
2019-10-10,310
2019-10-11,337
2019-10-12,309
2019-10-13,294
2019-10-14,285
2019-10-15,226
2019-10-16,264
2019-10-17,277
2019-10-18,353
2019-10-19,317
2019-10-20,212
2019-10-21,316
2019-10-22,281
2019-10-23,266
2019-10-24,331
2019-10-25,352
2019-10-26,347
2019-10-27,258
2019-10-28,285
2019-10-29,317
2019-10-30,349
2019-10-31,276
2019-11-01,291
2019-11-02,245
2019-11-03,240
2019-11-04,341
2019-11-05,368
2019-11-06,296
2019-11-07,350
2019-11-08,318
2019-11-09,268
2019-11-10,318
2019-11-11,377
2019-11-12,298
2019-11-13,378
2019-11-14,169
2019-11-15,341
2019-11-16,304
2019-11-17,285
2019-11-18,305
2019-11-19,201
2019-11-20,289
2019-11-21,318
2019-11-22,374
2019-11-23,274
2019-11-24,260
2019-11-25,275
2019-11-26,346
2019-11-27,316
2019-11-28,274
2019-11-29,326
2019-11-30,305
2019-12-01,348
2019-12-02,265
2019-12-03,284
2019-12-04,280
2019-12-05,227
2019-12-06,315
2019-12-07,313
2019-12-08,300
2019-12-09,288
2019-12-10,229
2019-12-11,279
2019-12-12,283
2019-12-13,260
2019-12-14,292
2019-12-15,320
2019-12-16,394
2019-12-17,309
2019-12-18,313
2019-12-19,296
2019-12-20,204
2019-12-21,299
2019-12-22,303
2019-12-23,423
2019-12-24,290
2019-12-25,315
2019-12-26,298
2019-12-27,242
2019-12-28,357
2019-12-29,338
2019-12-30,340
2019-12-31,255
